평점,도서명,가격
A Light in the Attic,3,51.77
1,Tipping the Velvet,53.74
50.10,1,Soumission
Sharp Objects,4,47.82
54.23,Sapiens: A Brief History of Humankind,5
1,The Requiem Red,22.65
33.34,4,The Dirty Little Secrets of Getting Your Dream Job
3,17.93,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull"
4,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.60
52.15,1,The Black Maria
2,13.99,"Starving Hearts (Triangular Trade Trilogy, #1)"
Shakespeare's Sonnets,4,20.66
17.46,Set Me Free,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5
35.02,Rip it Up and Start Again,5
3,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25
Olio,1,23.88
1,37.59,Mesaerion: The Best Science Fiction Stories 1800-1849
2,51.33,Libertarianism for Beginners
2,45.17,It's Only the Himalayas
